agent_transitions,team_return,score,baseline_score,mission_success,destroyed_fraction,discovery_fraction,area_coverage,first_detection_step,active_agents,first_score_step,score_auc,targets,success_threshold,strike_attempts,strike_hits,agents_expended,agent_terminated,steps
546,-6.299999999999939,12.0,8.0,True,0.6,1.0,1.0,0,0,73,0.685,5,8.0,4,4,5,"[False, False, False, False, False]",200
1092,-7.733333333333327,12.0,9.0,True,0.6,1.0,1.0,0,0,63,0.6133333333333326,5,9.0,5,5,5,"[False, False, False, False, False]",200
1608,-4.749999999999945,10.0,8.0,True,0.4,1.0,1.0,0,1,63,0.7625,5,8.0,2,2,4,"[False, False, False, False, False]",200
2135,-110.46249999999999,12.0,12.0,False,0.6,1.0,1.0,0,0,95,0.476875,5,12.0,4,4,5,"[False, False, False, False, False]",200
2513,-1.2875000000000167,12.0,8.0,True,0.6,1.0,1.0,0,0,53,0.935625,5,8.0,4,4,5,"[False, False, False, False, False]",200
2981,-5.7388888888889,12.0,9.0,True,0.6,1.0,1.0,0,0,74,0.7130555555555551,5,9.0,4,4,5,"[False, False, False, False, False]",200
3442,-3.799999999999984,12.0,8.0,True,0.6,1.0,1.0,0,0,73,0.81,5,8.0,3,3,5,"[False, False, False, False, False]",200
4070,-9.766666666666664,9.5,9.0,True,0.4,1.0,1.0,0,1,57,0.5116666666666674,5,9.0,4,4,4,"[False, False, False, False, False]",200
4641,-10.645454545454493,12.0,11.0,True,0.6,1.0,1.0,0,0,89,0.4677272727272734,5,11.0,5,5,5,"[False, False, False, False, False]",200
5182,-5.856249999999963,12.0,8.0,True,0.6,1.0,1.0,0,0,61,0.7071875,5,8.0,4,4,5,"[False, False, False, False, False]",200
5545,-0.8750000000000198,12.0,8.0,True,0.6,1.0,1.0,0,0,51,0.95625,5,8.0,3,3,5,"[False, False, False, False, False]",200
6033,4.909999999999998,12.0,5.0,True,0.6,1.0,1.0,0,0,51,1.2455000000000025,5,5.0,4,4,5,"[False, False, False, False, False]",200
6489,6.5199999999999925,12.0,5.0,True,0.6,1.0,1.0,0,0,59,1.3260000000000018,5,5.0,4,4,5,"[False, False, False, False, False]",200
6951,-109.25833333333333,12.0,12.0,False,0.6,1.0,1.0,0,0,64,0.5370833333333334,5,12.0,3,3,5,"[False, False, False, False, False]",200
7661,-11.099999999999927,12.0,8.0,True,0.6,1.0,1.0,0,0,58,0.445,5,8.0,5,5,5,"[False, False, False, False, False]",200
8146,-110.71666666666663,11.0,12.0,False,0.6,1.0,1.0,0,0,77,0.46416666666666706,5,12.0,3,3,5,"[False, False, False, False, False]",200
8816,-113.04166666666671,10.0,12.0,False,0.4,1.0,1.0,0,1,92,0.3479166666666669,5,12.0,3,3,4,"[False, False, False, False, False]",200
9404,-111.68749999999997,12.0,12.0,False,0.6,1.0,1.0,0,0,103,0.4156250000000001,5,12.0,4,4,5,"[False, False, False, False, False]",200
