agent_transitions,team_return,score,baseline_score,mission_success,destroyed_fraction,discovery_fraction,area_coverage,first_detection_step,active_agents,first_score_step,score_auc,targets,success_threshold,strike_attempts,strike_hits,agents_expended,agent_terminated,steps
800,-114.4777777777778,7.0,9.0,False,0.2,1.0,1.0,0,2,60,0.2761111111111116,5,9.0,3,3,3,"[False, False, False, False, False]",200
1168,-0.8875000000000075,12.0,8.0,True,0.6,1.0,1.0,0,0,60,0.955625,5,8.0,3,3,5,"[False, False, False, False, False]",200
1696,-7.118750000000022,11.0,8.0,True,0.6,1.0,1.0,0,0,55,0.6440625,5,8.0,4,4,5,"[False, False, False, False, False]",200
2166,-8.481818181818133,12.0,11.0,True,0.6,1.0,1.0,0,0,60,0.5759090909090918,5,11.0,3,3,5,"[False, False, False, False, False]",200
2581,-4.133333333333335,12.0,9.0,True,0.6,1.0,1.0,0,0,59,0.7933333333333336,5,9.0,3,3,5,"[False, False, False, False, False]",200
2944,-0.8000000000000131,12.0,8.0,True,0.6,1.0,1.0,0,0,57,0.96,5,8.0,3,3,5,"[False, False, False, False, False]",200
3342,-7.924999999999991,12.0,12.0,True,0.6,1.0,1.0,0,0,64,0.60375,5,12.0,3,3,5,"[False, False, False, False, False]",200
3737,-1.8125000000000187,12.0,8.0,True,0.6,1.0,1.0,0,0,61,0.909375,5,8.0,3,3,5,"[False, False, False, False, False]",200
4377,-108.65624999999994,7.5,8.0,False,0.2,1.0,1.0,0,2,57,0.5671875,5,8.0,3,3,3,"[False, False, False, False, False]",200
4780,-1.987500000000013,12.0,8.0,True,0.6,1.0,1.0,0,0,73,0.900625,5,8.0,3,3,5,"[False, False, False, False, False]",200
5236,-9.174999999999988,12.0,12.0,True,0.6,1.0,1.0,0,0,54,0.54125,5,12.0,3,3,5,"[False, False, False, False, False]",200
5652,-2.3250000000000073,12.0,8.0,True,0.6,1.0,1.0,0,0,75,0.88375,5,8.0,3,3,5,"[False, False, False, False, False]",200
6090,-8.758333333333312,12.0,12.0,True,0.6,1.0,1.0,0,0,64,0.5620833333333334,5,12.0,3,3,5,"[False, False, False, False, False]",200
6427,-0.07500000000001776,12.0,8.0,True,0.6,1.0,1.0,0,0,49,0.99625,5,8.0,3,3,5,"[False, False, False, False, False]",200
6836,-2.218750000000017,12.0,8.0,True,0.6,1.0,1.0,0,0,61,0.8890625,5,8.0,5,5,5,"[False, False, False, False, False]",200
7263,-2.7625000000000153,12.0,8.0,True,0.6,1.0,1.0,0,0,69,0.861875,5,8.0,3,3,5,"[False, False, False, False, False]",200
7656,-3.6222222222222253,12.0,9.0,True,0.6,1.0,1.0,0,0,59,0.8188888888888893,5,9.0,3,3,5,"[False, False, False, False, False]",200
8019,-0.7750000000000108,12.0,8.0,True,0.6,1.0,1.0,0,0,47,0.96125,5,8.0,3,3,5,"[False, False, False, False, False]",200
8411,-1.6125000000000087,12.0,8.0,True,0.6,1.0,1.0,0,0,59,0.919375,5,8.0,3,3,5,"[False, False, False, False, False]",200
8774,-0.7750000000000108,12.0,8.0,True,0.6,1.0,1.0,0,0,52,0.96125,5,8.0,3,3,5,"[False, False, False, False, False]",200
9092,0.6249999999999939,12.0,8.0,True,0.6,1.0,1.0,0,0,48,1.03125,5,8.0,3,3,5,"[False, False, False, False, False]",200
9498,-3.9444444444444464,12.0,9.0,True,0.6,1.0,1.0,0,0,63,0.802777777777778,5,9.0,3,3,5,"[False, False, False, False, False]",200
9946,-9.024999999999979,12.0,12.0,True,0.6,1.0,1.0,0,0,50,0.5487500000000001,5,12.0,3,3,5,"[False, False, False, False, False]",200
10376,-7.563636363636342,12.0,11.0,True,0.6,1.0,1.0,0,0,62,0.6218181818181828,5,11.0,3,3,5,"[False, False, False, False, False]",200
10738,11.120000000000005,12.0,5.0,True,0.6,1.0,1.0,0,0,58,1.5559999999999996,5,5.0,3,3,5,"[False, False, False, False, False]",200
11166,-8.591666666666653,12.0,12.0,True,0.6,1.0,1.0,0,0,54,0.5704166666666667,5,12.0,3,3,5,"[False, False, False, False, False]",200
11689,-7.155555555555532,12.0,9.0,True,0.6,1.0,1.0,0,0,88,0.6422222222222215,5,9.0,5,5,5,"[False, False, False, False, False]",200
12086,-3.7777777777777803,12.0,9.0,True,0.6,1.0,1.0,0,0,69,0.8111111111111114,5,9.0,3,3,5,"[False, False, False, False, False]",200
12450,-2.872222222222228,12.0,9.0,True,0.6,1.0,1.0,0,0,50,0.8563888888888898,5,9.0,4,4,5,"[False, False, False, False, False]",200
12815,-0.837500000000011,12.0,8.0,True,0.6,1.0,1.0,0,0,62,0.958125,5,8.0,3,3,5,"[False, False, False, False, False]",200
13148,0.12499999999998936,12.0,8.0,True,0.6,1.0,1.0,0,0,44,1.00625,5,8.0,3,3,5,"[False, False, False, False, False]",200
13524,-1.162500000000011,12.0,8.0,True,0.6,1.0,1.0,0,0,65,0.941875,5,8.0,3,3,5,"[False, False, False, False, False]",200
13927,-3.900000000000002,12.0,9.0,True,0.6,1.0,1.0,0,0,67,0.8050000000000003,5,9.0,3,3,5,"[False, False, False, False, False]",200
14304,-1.3125000000000218,12.0,8.0,True,0.6,1.0,1.0,0,0,51,0.934375,5,8.0,3,3,5,"[False, False, False, False, False]",200
14780,-9.558333333333326,12.0,12.0,True,0.6,1.0,1.0,0,0,62,0.5220833333333333,5,12.0,3,3,5,"[False, False, False, False, False]",200
15214,-8.608333333333317,12.0,12.0,True,0.6,1.0,1.0,0,0,77,0.5695833333333333,5,12.0,4,4,5,"[False, False, False, False, False]",200
15559,-0.2375000000000108,12.0,8.0,True,0.6,1.0,1.0,0,0,58,0.988125,5,8.0,3,3,5,"[False, False, False, False, False]",200
15961,-8.058333333333328,12.0,12.0,True,0.6,1.0,1.0,0,0,52,0.5970833333333334,5,12.0,3,3,5,"[False, False, False, False, False]",200
16423,-5.366666666666664,12.0,9.0,True,0.6,1.0,1.0,0,0,53,0.7316666666666667,5,9.0,4,4,5,"[False, False, False, False, False]",200
16823,-2.0375000000000254,12.0,8.0,True,0.6,1.0,1.0,0,0,50,0.898125,5,8.0,3,3,5,"[False, False, False, False, False]",200
17208,-3.3777777777777818,12.0,9.0,True,0.6,1.0,1.0,0,0,56,0.8311111111111116,5,9.0,3,3,5,"[False, False, False, False, False]",200
17564,11.340000000000005,12.0,5.0,True,0.6,1.0,1.0,0,0,65,1.5669999999999995,5,5.0,3,3,5,"[False, False, False, False, False]",200
18008,-8.883333333333324,12.0,12.0,True,0.6,1.0,1.0,0,0,64,0.5558333333333333,5,12.0,3,3,5,"[False, False, False, False, False]",200
18407,-1.856250000000012,12.0,8.0,True,0.6,1.0,1.0,0,0,64,0.9071875,5,8.0,4,4,5,"[False, False, False, False, False]",200
18902,-6.349999999999991,12.0,9.0,True,0.6,1.0,1.0,0,0,68,0.6824999999999994,5,9.0,5,5,5,"[False, False, False, False, False]",200
19323,-8.391666666666653,12.0,12.0,True,0.6,1.0,1.0,0,0,67,0.5804166666666667,5,12.0,3,3,5,"[False, False, False, False, False]",200
19740,-8.366666666666653,12.0,12.0,True,0.6,1.0,1.0,0,0,53,0.5816666666666667,5,12.0,3,3,5,"[False, False, False, False, False]",200
20186,-7.918181818181765,12.0,11.0,True,0.6,1.0,1.0,0,0,64,0.60409090909091,5,11.0,3,3,5,"[False, False, False, False, False]",200
20605,-2.4000000000000057,12.0,8.0,True,0.6,1.0,1.0,0,0,64,0.88,5,8.0,3,3,5,"[False, False, False, False, False]",200
20968,-0.8125000000000142,12.0,8.0,True,0.6,1.0,1.0,0,0,61,0.959375,5,8.0,3,3,5,"[False, False, False, False, False]",200
21385,-8.408333333333315,12.0,12.0,True,0.6,1.0,1.0,0,0,43,0.5795833333333335,5,12.0,3,3,5,"[False, False, False, False, False]",200
21752,10.780000000000003,12.0,5.0,True,0.6,1.0,1.0,0,0,68,1.5389999999999997,5,5.0,3,3,5,"[False, False, False, False, False]",200
22169,-2.4750000000000174,12.0,8.0,True,0.6,1.0,1.0,0,0,65,0.87625,5,8.0,3,3,5,"[False, False, False, False, False]",200
22659,-4.449999999999982,12.0,8.0,True,0.6,1.0,1.0,0,0,68,0.7775,5,8.0,4,4,5,"[False, False, False, False, False]",200
23041,-1.375000000000014,12.0,8.0,True,0.6,1.0,1.0,0,0,64,0.93125,5,8.0,3,3,5,"[False, False, False, False, False]",200
23390,-0.3625000000000113,12.0,8.0,True,0.6,1.0,1.0,0,0,57,0.981875,5,8.0,3,3,5,"[False, False, False, False, False]",200
23850,-8.290909090909045,12.0,11.0,True,0.6,1.0,1.0,0,0,52,0.5854545454545463,5,11.0,3,3,5,"[False, False, False, False, False]",200
24233,-1.4125000000000147,12.0,8.0,True,0.6,1.0,1.0,0,0,65,0.929375,5,8.0,3,3,5,"[False, False, False, False, False]",200
24662,-8.574999999999982,12.0,12.0,True,0.6,1.0,1.0,0,0,63,0.57125,5,12.0,3,3,5,"[False, False, False, False, False]",200
25032,-1.0250000000000146,12.0,8.0,True,0.6,1.0,1.0,0,0,46,0.94875,5,8.0,4,4,5,"[False, False, False, False, False]",200
25382,11.860000000000008,12.0,5.0,True,0.6,1.0,1.0,0,0,56,1.5929999999999986,5,5.0,3,3,5,"[False, False, False, False, False]",200
25792,-4.011111111111113,12.0,9.0,True,0.6,1.0,1.0,0,0,58,0.7994444444444447,5,9.0,3,3,5,"[False, False, False, False, False]",200
26356,-8.011111111111111,12.0,9.0,True,0.6,1.0,1.0,0,0,58,0.5994444444444444,5,9.0,4,4,5,"[False, False, False, False, False]",200
26792,-8.774999999999977,12.0,12.0,True,0.6,1.0,1.0,0,0,50,0.56125,5,12.0,3,3,5,"[False, False, False, False, False]",200
27245,-5.1277777777777755,12.0,9.0,True,0.6,1.0,1.0,0,0,57,0.743611111111111,5,9.0,4,4,5,"[False, False, False, False, False]",200
27664,-8.399999999999988,12.0,12.0,True,0.6,1.0,1.0,0,0,55,0.58,5,12.0,3,3,5,"[False, False, False, False, False]",200
28109,-8.949999999999992,12.0,12.0,True,0.6,1.0,1.0,0,0,53,0.5525,5,12.0,3,3,5,"[False, False, False, False, False]",200
28581,-5.672222222222219,12.0,9.0,True,0.6,1.0,1.0,0,0,52,0.7163888888888887,5,9.0,4,4,5,"[False, False, False, False, False]",200
28901,0.5124999999999892,12.0,8.0,True,0.6,1.0,1.0,0,0,47,1.025625,5,8.0,3,3,5,"[False, False, False, False, False]",200
29347,-110.44999999999992,10.5,12.0,False,0.6,1.0,1.0,0,0,70,0.4775,5,12.0,4,4,5,"[False, False, False, False, False]",200
29758,-4.0388888888888905,12.0,9.0,True,0.6,1.0,1.0,0,0,61,0.7980555555555557,5,9.0,4,4,5,"[False, False, False, False, False]",200
30128,-1.075000000000019,12.0,8.0,True,0.6,1.0,1.0,0,0,54,0.94625,5,8.0,3,3,5,"[False, False, False, False, False]",200
